Fordham Username,Year,Used Online Marketplace,Frequency of Use,Encountered Issues,Trust Level,Exclusive Marketplace for Fordham Students,Features for Trust,Likelihood of Using Fordham Marketplace,Reason for Likelihood
user9054,Freshman,"Yes, I have both bought and sold items",A few times a year,Unsafe or uncomfortable interactions with buyers or sellers,5,Yes,Pay for products in person; Other (Please describe); Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions,Very likely,University affiliation adds a layer of trust.
user3800,Sophomore,"Yes, I have both bought and sold items",A few times a year,Scams or fraudulent transactions,1,Unsure,Other (Please describe); Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions; Mandatory university email verification for all users,Somewhat unlikely,Fordham-exclusive marketplace provides a sense of security.
user3885,Graduate Student,"Yes, I have sold items",More than once a month,Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust; None of the above; Scams or fraudulent transactions,4,Yes,Pay for products in person; Ratings and reviews for buyers and sellers,Very unlikely,Exclusive marketplace provides assurance.
user3964,Senior,"Yes, I have bought items",Never,Scams or fraudulent transactions; None of the above; Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality,4,No,Other (Please describe); In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers,Neutral,University affiliation adds a layer of trust.
user6079,Senior,"No, I have never used an online marketplace",Once a month,Difficulty verifying product authenticity or quality; Scams or fraudulent transactions,4,Yes,Mandatory university email verification for all users; Pay for products in person; Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions,Neutral,Exclusive marketplace provides assurance.
user2110,Freshman,"Yes, I have both bought and sold items",A few times a year,None of the above; Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality,5,Yes,Other (Please describe); In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers,Very unlikely,Trust features are crucial for me.
user2245,Senior,"No, I have never used an online marketplace",A few times a year,None of the above; Scams or fraudulent transactions; Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers,3,No,Pay for products in person; Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions,Somewhat likely,Trust features are crucial for me.
user8620,Sophomore,"Yes, I have both bought and sold items",More than once a month,Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Transactions falling through due to lack of trust; None of the above,3,Unsure,Mandatory university email verification for all users,Somewhat unlikely,Exclusive marketplace provides assurance.
user7451,Junior,"Yes, I have sold items",Never,Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; None of the above,3,Unsure,In-app messaging to initiate transactions,Somewhat likely,University affiliation adds a layer of trust.
user8345,Junior,"Yes, I have bought items",A few times a year,Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; None of the above,4,Yes,In-app messaging to initiate transactions; Mandatory university email verification for all users; Pay for products in person; Ratings and reviews for buyers and sellers,Very unlikely,Trust features are crucial for me.
user8398,Senior,"Yes, I have both bought and sold items",Never,None of the above; Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality,1,Unsure,Other (Please describe),Somewhat likely,University affiliation adds a layer of trust.
user5763,Junior,"No, I have never used an online marketplace",Rarely,Transactions falling through due to lack of trust; None of the above; Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions,5,No,Mandatory university email verification for all users; In-app messaging to initiate transactions,Somewhat unlikely,Exclusive marketplace provides assurance.
user466,Junior,"Yes, I have both bought and sold items",Never,Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust,2,No,Other (Please describe); Pay for products in person; Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions; Mandatory university email verification for all users,Somewhat unlikely,Trust features are crucial for me.
user5539,Sophomore,"Yes, I have bought items",Never,Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust,4,Yes,Pay for products in person,Somewhat unlikely,University affiliation adds a layer of trust.
user9475,Freshman,"Yes, I have bought items",More than once a month,Unsafe or uncomfortable interactions with buyers or sellers,1,Unsure,Other (Please describe),Neutral,Exclusive marketplace provides assurance.
user2206,Sophomore,"Yes, I have bought items",Rarely,None of the above; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions,2,Unsure,Mandatory university email verification for all users; Other (Please describe); Pay for products in person,Very likely,University affiliation adds a layer of trust.
user8735,Junior,"Yes, I have both bought and sold items",Never,Transactions falling through due to lack of trust; None of the above; Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality,2,Unsure,Pay for products in person,Very unlikely,Fordham-exclusive marketplace provides a sense of security.
user8746,Graduate Student,"Yes, I have bought items",Once a month,Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; Scams or fraudulent transactions; None of the above,2,No,Other (Please describe); Ratings and reviews for buyers and sellers; Mandatory university email verification for all users,Very unlikely,University affiliation adds a layer of trust.
user6433,Junior,"Yes, I have bought items",More than once a month,None of the above; Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions,5,No,Mandatory university email verification for all users; Ratings and reviews for buyers and sellers,Somewhat likely,Trust features are crucial for me.
user8505,Senior,"Yes, I have bought items",A few times a year,None of the above; Scams or fraudulent transactions; Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,Mandatory university email verification for all users; In-app messaging to initiate transactions; Pay for products in person; Ratings and reviews for buyers and sellers; Other (Please describe),Neutral,University-specific marketplace feels safer.
user4285,Junior,"Yes, I have sold items",Once a month,Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; None of the above,2,Unsure,Pay for products in person; Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers,Very unlikely,Trust features are crucial for me.
user3543,Senior,"Yes, I have bought items",Never,Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; Scams or fraudulent transactions,1,Unsure,In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Other (Please describe),Neutral,University affiliation adds a layer of trust.
user9937,Sophomore,"Yes, I have bought items",More than once a month,Scams or fraudulent transactions; Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; None of the above,4,Yes,Pay for products in person,Very likely,Trust features are crucial for me.
user8469,Junior,"Yes, I have both bought and sold items",A few times a year,None of the above,5,No,Ratings and reviews for buyers and sellers,Neutral,Trust features are crucial for me.
user3597,Sophomore,"Yes, I have bought items",A few times a year,Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; None of the above,5,Unsure,Mandatory university email verification for all users; Other (Please describe); In-app messaging to initiate transactions; Pay for products in person; Ratings and reviews for buyers and sellers,Neutral,University-specific marketplace feels safer.
user4838,Freshman,"Yes, I have bought items",Never,Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust,1,Unsure,In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers,Neutral,Exclusive marketplace provides assurance.
user9057,Graduate Student,"No, I have never used an online marketplace",Rarely,Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; Scams or fraudulent transactions; None of the above; Unsafe or uncomfortable interactions with buyers or sellers,3,Unsure,Other (Please describe); In-app messaging to initiate transactions; Pay for products in person; Mandatory university email verification for all users; Ratings and reviews for buyers and sellers,Neutral,University-specific marketplace feels safer.
user7906,Sophomore,"No, I have never used an online marketplace",Once a month,Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality,4,Yes,Pay for products in person; Mandatory university email verification for all users; Other (Please describe),Somewhat likely,University-specific marketplace feels safer.
user3873,Senior,"Yes, I have sold items",More than once a month,Difficulty verifying product authenticity or quality; None of the above; Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust,1,Yes,Ratings and reviews for buyers and sellers; Mandatory university email verification for all users; Pay for products in person,Neutral,University affiliation adds a layer of trust.
user5912,Sophomore,"No, I have never used an online marketplace",Once a month,Transactions falling through due to lack of trust; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality,1,Yes,Mandatory university email verification for all users; Other (Please describe); Pay for products in person; Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions,Neutral,University affiliation adds a layer of trust.
user5817,Sophomore,"Yes, I have both bought and sold items",A few times a year,Scams or fraudulent transactions; Transactions falling through due to lack of trust,4,Yes,In-app messaging to initiate transactions; Other (Please describe); Mandatory university email verification for all users; Ratings and reviews for buyers and sellers,Very unlikely,University-specific marketplace feels safer.
user2644,Sophomore,"Yes, I have both bought and sold items",A few times a year,Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions; Pay for products in person; Other (Please describe),Somewhat unlikely,University-specific marketplace feels safer.
user5023,Senior,"Yes, I have sold items",Once a month,None of the above; Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions,5,Unsure,In-app messaging to initiate transactions,Somewhat unlikely,University affiliation adds a layer of trust.
user2864,Sophomore,"Yes, I have sold items",Never,Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality,4,No,Pay for products in person,Neutral,University-specific marketplace feels safer.
user410,Junior,"Yes, I have sold items",Rarely,Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; Scams or fraudulent transactions,2,No,Pay for products in person,Very unlikely,Trust features are crucial for me.
user4957,Sophomore,"No, I have never used an online marketplace",A few times a year,None of the above; Transactions falling through due to lack of trust; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,Other (Please describe); Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions,Very likely,University affiliation adds a layer of trust.
user1792,Junior,"Yes, I have both bought and sold items",Never,Scams or fraudulent transactions,2,No,Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Pay for products in person,Neutral,Fordham-exclusive marketplace provides a sense of security.
user6861,Senior,"No, I have never used an online marketplace",More than once a month,None of the above,1,Yes,Ratings and reviews for buyers and sellers; Pay for products in person; Mandatory university email verification for all users; In-app messaging to initiate transactions,Very likely,Exclusive marketplace provides assurance.
user6553,Freshman,"Yes, I have both bought and sold items",A few times a year,Difficulty verifying product authenticity or quality,5,Yes,Mandatory university email verification for all users; Pay for products in person; Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions; Other (Please describe),Very unlikely,Fordham-exclusive marketplace provides a sense of security.
user6053,Junior,"Yes, I have both bought and sold items",More than once a month,None of the above; Scams or fraudulent transactions; Transactions falling through due to lack of trust,1,No,In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Other (Please describe); Pay for products in person,Somewhat likely,Exclusive marketplace provides assurance.
user1276,Freshman,"Yes, I have sold items",More than once a month,Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Scams or fraudulent transactions,4,Unsure,Pay for products in person; Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Other (Please describe),Neutral,Exclusive marketplace provides assurance.
user8914,Graduate Student,"Yes, I have sold items",A few times a year,Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers,2,Yes,Ratings and reviews for buyers and sellers; Other (Please describe); Mandatory university email verification for all users; In-app messaging to initiate transactions,Neutral,Exclusive marketplace provides assurance.
user9863,Senior,"No, I have never used an online marketplace",Rarely,None of the above,4,No,Other (Please describe); Pay for products in person; Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers,Very unlikely,Exclusive marketplace provides assurance.
user9318,Sophomore,"Yes, I have sold items",More than once a month,Scams or fraudulent transactions,1,Yes,Other (Please describe),Very likely,University affiliation adds a layer of trust.
user1495,Freshman,"Yes, I have both bought and sold items",Once a month,None of the above; Unsafe or uncomfortable interactions with buyers or sellers,5,No,Ratings and reviews for buyers and sellers; Other (Please describe); Pay for products in person; In-app messaging to initiate transactions; Mandatory university email verification for all users,Somewhat unlikely,University affiliation adds a layer of trust.
user6746,Junior,"Yes, I have sold items",Rarely,Difficulty verifying product authenticity or quality; Scams or fraudulent transactions; None of the above; Transactions falling through due to lack of trust,3,Yes,In-app messaging to initiate transactions; Other (Please describe); Pay for products in person; Mandatory university email verification for all users; Ratings and reviews for buyers and sellers,Very unlikely,University-specific marketplace feels safer.
user4783,Sophomore,"Yes, I have sold items",Rarely,Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality,4,Yes,Pay for products in person; Ratings and reviews for buyers and sellers; Mandatory university email verification for all users,Somewhat unlikely,University-specific marketplace feels safer.
user9456,Freshman,"Yes, I have both bought and sold items",Never,Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality; None of the above,1,Yes,In-app messaging to initiate transactions; Pay for products in person; Ratings and reviews for buyers and sellers; Other (Please describe),Somewhat unlikely,Fordham-exclusive marketplace provides a sense of security.
user957,Freshman,"Yes, I have both bought and sold items",Once a month,Difficulty verifying product authenticity or quality,5,Unsure,Ratings and reviews for buyers and sellers,Somewhat likely,Fordham-exclusive marketplace provides a sense of security.
user3190,Junior,"Yes, I have sold items",Once a month,Scams or fraudulent transactions; None of the above,4,Yes,Ratings and reviews for buyers and sellers; Pay for products in person; Mandatory university email verification for all users; Other (Please describe),Very likely,Fordham-exclusive marketplace provides a sense of security.
user9378,Sophomore,"No, I have never used an online marketplace",Rarely,None of the above; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust,5,Yes,Ratings and reviews for buyers and sellers,Somewhat unlikely,Trust features are crucial for me.
user3181,Graduate Student,"Yes, I have both bought and sold items",A few times a year,Difficulty verifying product authenticity or quality; Scams or fraudulent transactions,5,No,Other (Please describe); Pay for products in person; Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions,Somewhat unlikely,University-specific marketplace feels safer.
user6641,Senior,"No, I have never used an online marketplace",More than once a month,Transactions falling through due to lack of trust; None of the above; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions,4,Unsure,In-app messaging to initiate transactions; Pay for products in person; Other (Please describe); Mandatory university email verification for all users; Ratings and reviews for buyers and sellers,Somewhat likely,Exclusive marketplace provides assurance.
user9892,Sophomore,"Yes, I have sold items",Rarely,None of the above; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality,4,Yes,Other (Please describe); In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers,Very likely,Trust features are crucial for me.
user2842,Sophomore,"Yes, I have sold items",A few times a year,Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality,4,Unsure,Mandatory university email verification for all users; In-app messaging to initiate transactions,Somewhat unlikely,Exclusive marketplace provides assurance.
user1360,Graduate Student,"Yes, I have sold items",Once a month,None of the above; Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust,5,Unsure,Pay for products in person; Mandatory university email verification for all users; Other (Please describe); In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers,Somewhat likely,University affiliation adds a layer of trust.
user7589,Freshman,"Yes, I have sold items",Rarely,None of the above; Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Transactions falling through due to lack of trust,1,Yes,Other (Please describe),Somewhat unlikely,Fordham-exclusive marketplace provides a sense of security.
user9104,Graduate Student,"Yes, I have bought items",More than once a month,Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust; None of the above,4,Yes,Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions; Other (Please describe),Neutral,Exclusive marketplace provides assurance.
user90,Sophomore,"No, I have never used an online marketplace",More than once a month,Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality,3,Unsure,Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions; Pay for products in person; Other (Please describe),Neutral,Exclusive marketplace provides assurance.
user2319,Graduate Student,"Yes, I have bought items",Rarely,Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers; None of the above,3,No,Pay for products in person,Very likely,Trust features are crucial for me.
user3010,Freshman,"Yes, I have both bought and sold items",Rarely,Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality; None of the above; Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions,4,Unsure,Ratings and reviews for buyers and sellers; Mandatory university email verification for all users; Pay for products in person,Very unlikely,Trust features are crucial for me.
user1412,Sophomore,"Yes, I have both bought and sold items",Once a month,Difficulty verifying product authenticity or quality; None of the above; Transactions falling through due to lack of trust; Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers,5,Yes,Other (Please describe); Pay for products in person,Very unlikely,University-specific marketplace feels safer.
user2835,Sophomore,"Yes, I have sold items",A few times a year,Transactions falling through due to lack of trust; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; None of the above; Unsafe or uncomfortable interactions with buyers or sellers,4,No,In-app messaging to initiate transactions; Pay for products in person; Other (Please describe); Ratings and reviews for buyers and sellers,Somewhat unlikely,University-specific marketplace feels safer.
user6544,Junior,"Yes, I have both bought and sold items",Never,Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,Ratings and reviews for buyers and sellers,Neutral,Exclusive marketplace provides assurance.
user3671,Graduate Student,"Yes, I have sold items",Never,None of the above; Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality,3,Unsure,Mandatory university email verification for all users,Very likely,Exclusive marketplace provides assurance.
user7073,Graduate Student,"Yes, I have both bought and sold items",Once a month,Scams or fraudulent transactions; None of the above,1,No,In-app messaging to initiate transactions,Somewhat unlikely,University affiliation adds a layer of trust.
user376,Sophomore,"Yes, I have bought items",Rarely,Transactions falling through due to lack of trust; Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Difficulty verifying product authenticity or quality,3,Yes,Mandatory university email verification for all users; Other (Please describe); Ratings and reviews for buyers and sellers,Somewhat likely,Trust features are crucial for me.
user3647,Graduate Student,"Yes, I have both bought and sold items",A few times a year,Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions,3,No,Pay for products in person; In-app messaging to initiate transactions; Mandatory university email verification for all users; Ratings and reviews for buyers and sellers,Somewhat unlikely,Exclusive marketplace provides assurance.
user992,Senior,"Yes, I have sold items",Rarely,Unsafe or uncomfortable interactions with buyers or sellers,1,Unsure,Other (Please describe); Mandatory university email verification for all users; Ratings and reviews for buyers and sellers,Somewhat unlikely,Fordham-exclusive marketplace provides a sense of security.
user2732,Freshman,"Yes, I have sold items",More than once a month,Transactions falling through due to lack of trust; None of the above; Difficulty verifying product authenticity or quality,3,No,In-app messaging to initiate transactions; Mandatory university email verification for all users; Pay for products in person; Other (Please describe); Ratings and reviews for buyers and sellers,Very unlikely,Trust features are crucial for me.
user3051,Junior,"Yes, I have both bought and sold items",Once a month,Transactions falling through due to lack of trust; Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Difficulty verifying product authenticity or quality,2,No,Mandatory university email verification for all users; Other (Please describe); In-app messaging to initiate transactions; Pay for products in person; Ratings and reviews for buyers and sellers,Very likely,Exclusive marketplace provides assurance.
user5859,Junior,"Yes, I have sold items",A few times a year,None of the above; Unsafe or uncomfortable interactions with buyers or sellers,1,Yes,Other (Please describe); Ratings and reviews for buyers and sellers,Neutral,Exclusive marketplace provides assurance.
user6199,Sophomore,"Yes, I have both bought and sold items",A few times a year,None of the above; Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions,2,Unsure,Other (Please describe); Ratings and reviews for buyers and sellers; Mandatory university email verification for all users,Very likely,University affiliation adds a layer of trust.
user7348,Sophomore,"Yes, I have bought items",A few times a year,Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Transactions falling through due to lack of trust; None of the above,1,No,Other (Please describe); Mandatory university email verification for all users,Somewhat likely,University affiliation adds a layer of trust.
user3230,Sophomore,"Yes, I have both bought and sold items",More than once a month,Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions; None of the above,5,No,In-app messaging to initiate transactions; Pay for products in person; Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Other (Please describe),Very likely,Exclusive marketplace provides assurance.
user7528,Junior,"Yes, I have both bought and sold items",More than once a month,Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions,1,Unsure,Ratings and reviews for buyers and sellers; Mandatory university email verification for all users; Other (Please describe); Pay for products in person; In-app messaging to initiate transactions,Neutral,Trust features are crucial for me.
user5713,Freshman,"Yes, I have sold items",A few times a year,Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; None of the above,4,Unsure,In-app messaging to initiate transactions; Other (Please describe); Pay for products in person,Very unlikely,University-specific marketplace feels safer.
user4242,Junior,"Yes, I have sold items",More than once a month,Difficulty verifying product authenticity or quality; None of the above,1,Yes,Other (Please describe); In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Pay for products in person; Mandatory university email verification for all users,Somewhat unlikely,Fordham-exclusive marketplace provides a sense of security.
user8491,Junior,"Yes, I have both bought and sold items",A few times a year,Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality,1,No,Pay for products in person; Ratings and reviews for buyers and sellers,Somewhat unlikely,University affiliation adds a layer of trust.
user4753,Sophomore,"Yes, I have sold items",Never,Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; None of the above; Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality,3,Unsure,Pay for products in person; Other (Please describe); Ratings and reviews for buyers and sellers; Mandatory university email verification for all users,Very unlikely,Fordham-exclusive marketplace provides a sense of security.
user1470,Senior,"No, I have never used an online marketplace",Once a month,Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust,5,Yes,Ratings and reviews for buyers and sellers; Other (Please describe); In-app messaging to initiate transactions; Pay for products in person,Somewhat likely,Fordham-exclusive marketplace provides a sense of security.
user5751,Sophomore,"No, I have never used an online marketplace",A few times a year,Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality,1,Yes,In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Pay for products in person,Neutral,University-specific marketplace feels safer.
